ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE
679	WOT	child	ǰärmük	ǰärmük	d͡ʒ ɛ r m y k	
534	H	church (building and organisation)	ëdʹhāz	ëdʹhāz	e ɟ h aː z	
535	EAH	church (building and organisation)	ëdʹ	ëdʹ	e ɟ	
536	WOT	church (building and organisation)	edü	edü	ɛ d y	
537	H	church (building and organisation)	ëdʹhāz	ëdʹhāz	e ɟ h aː z	
538	EAH	church (building and organisation)	ëdʹ	ëdʹ	e ɟ	
539	WOT	church (building and organisation)	edi	edi	ɛ d i	
1076	H	churn, beehive, anything with a hollow part in which something canbe fitted in, a trough, tray for channelling water, the same used as a small bridge (the latter in Translyvania)	köpǖ	köpǖ	k ø p yː	
1077	OH	churn, beehive, anything with a hollow part in which something canbe fitted in, a trough, tray for channelling water, the same used as a small bridge (the latter in Translyvania)	küpǖ	küpǖ	k y p yː	
1078	EAH	churn, beehive, anything with a hollow part in which something canbe fitted in, a trough, tray for channelling water, the same used as a small bridge (the latter in Translyvania)	küpüγ	küpüγ	k y p y ɣ	
1079	WOT	churn, beehive, anything with a hollow part in which something canbe fitted in, a trough, tray for channelling water, the same used as a small bridge (the latter in Translyvania)	küpüγ	küpüγ	k y p y ɣ	
413	H	clasp	čåt	čåt	t͡ʃ ɒ t	
414	OH	clasp	čåtol	čåtol	t͡ʃ ɒ t o l	
415	LAH	clasp	čat	čat	t͡ʃ a t	
416	EAH	clasp	čati	čati	t͡ʃ a t i	
417	WOT	clasp	čatï	čatï	t͡ʃ a t ɯ	
1073	H	cloak, gown, overcoat	köpöńek	köpöńek	k ø p ø ɲ ɛ k	
1074	EAH	cloak, gown, overcoat	kepenek	kepenek	k ɛ p ɛ n ɛ k	
1075	WOT	cloak, gown, overcoat	kepenek	kepenek	k ɛ p ɛ n ɛ k	
326	H	club, mace, reed-mace	buzogāń	buzogāń	b u z o ɡ aː ɲ	
327	EAH	club, mace, reed-mace	buzgan	buzgan	b u z ɡ a n	
328	WOT	club, mace, reed-mace	buzgan	buzgan	b u z ɡ a n	
1002	H	coffin	koporšō	koporšō	k o p o r ʃ oː	
1003	EAH	coffin	kopurčaγ	kopurčaγ	k o p u r t͡ʃ a ɣ	
1004	WOT	coffin	kapurčaγ	kapurčaγ	k a p u r t͡ʃ a ɣ	
1449	H	colour, face, external appearance, the best part of something, the upperpart of something	sīn	sīn	s iː n	
1450	EAH	colour, face, external appearance, the best part of something, the upperpart of something	sin	sin	s i n	
1451	WOT	colour, face, external appearance, the best part of something, the upperpart of something	sin	sin	s i n	
551	H	community work in agriculture, a kind of corvée	enȫ	enȫ	ɛ n øː	
552	OH	community work in agriculture, a kind of corvée	eneü̯	eneü̯	ɛ n ɛ ɥ	
553	EAH	community work in agriculture, a kind of corvée	ineγ	ineγ	i n ɛ ɣ	
554	WOT	community work in agriculture, a kind of corvée	inäγ	inäγ	i n ɛ ɣ	
1685	H	cottage cheese, cheese curds	tūrō	tūrō	t uː r oː	
1686	OH	cottage cheese, cheese curds	turō	turō	t u r oː	
1687	EAH	cottage cheese, cheese curds	toraγ	toraγ	t o r a ɣ	
1688	WOT	cottage cheese, cheese curds	toraγ	toraγ	t o r a ɣ	
632	H	cotton	dʹåpot	dʹåpot	ɟ ɒ p o t	
633	EAH	cotton	ǰaput	ǰaput	d͡ʒ a p u t	
634	WOT	cotton	ǰaput	ǰaput	d͡ʒ a p u t	
116	H	courageous, brave, valiant	bātor	bātor	b aː t o r	
117	EAH	courageous, brave, valiant	baγatur	baγatur	b a ɣ a t u r	
118	WOT	courageous, brave, valiant	baγatur	baγatur	b a ɣ a t u r	
293	H	cradle	bölčȫ	bölčȫ	b ø l t͡ʃ øː	
294	OH	cradle	belčȫ	belčȫ	b ɛ l t͡ʃ øː	
295	EAH	cradle	belčeγ	belčeγ	b ɛ l t͡ʃ ɛ ɣ	
296	WOT	cradle	belčiγ	belčiγ	b ɛ l t͡ʃ i ɣ	
1154	H	crumb (of bread), morsel, a small piece of bread	ontok	ontok	o n t o k	
1155	WOT	crumb (of bread), morsel, a small piece of bread	untak	untak	u n t a k	
1156	H	crumb (of bread), morsel, a small piece of bread	ontog	ontog	o n t o ɡ	
1157	WOT	crumb (of bread), morsel, a small piece of bread	untak	untak	u n t a k	
930	H	cud	kērȫ	kērȫ	k eː r øː	
931	OH	cud	kevreγ	kevreγ	k ɛ v r ɛ ɣ	
932	EAH	cud	kevereγ	kevereγ	k ɛ v ɛ r ɛ ɣ	
933	WOT	cud	käwiräg	käwiräg	k ɛ w i r ɛ ɡ	
705	H	cudweed, Gnaphalium; Edelweiss	dʹopār	dʹopār	ɟ o p aː r	
706	OH	cudweed, Gnaphalium; Edelweiss	ǰupar	ǰupar	d͡ʒ u p a r	
707	EAH	cudweed, Gnaphalium; Edelweiss	ǰïpar	ǰïpar	d͡ʒ ɯ p a r	
708	WOT	cudweed, Gnaphalium; Edelweiss	ǰïpar	ǰïpar	d͡ʒ ɯ p a r	
1177	H	cune in play in ostábla	oš	oš	o ʃ	
1178	OH	cune in play in ostábla	ošk	ošk	o ʃ k	
1179	LAH	cune in play in ostábla	ačk	ačk	a t͡ʃ k	
1180	EAH	cune in play in ostábla	alčuk	alčuk	a l t͡ʃ u k	
1181	WOT	cune in play in ostábla	alčuk	alčuk	a l t͡ʃ u k	
1301	H	cup, goblet	šerleg	šerleg	ʃ ɛ r l ɛ ɡ	
1302	EAH	cup, goblet	šerleg	šerleg	ʃ ɛ r l ɛ ɡ	
1303	WOT	cup, goblet	širlig	širlig	ʃ i r l i ɡ	
871	H	damage, loss	kār	kār	k aː r	
872	WOT	damage, loss	kăvar	kăvar	k ɐ v a r	
1356	H	dense, thick (of woods or soup)	šǖrǖ	šǖrǖ	ʃ yː r yː	
1357	OH	dense, thick (of woods or soup)	šireü̯	šireü̯	ʃ i r ɛ ɥ	
1358	EAH	dense, thick (of woods or soup)	čireγ	čireγ	t͡ʃ i r ɛ ɣ	
1359	WOT	dense, thick (of woods or soup)	čiräγ	čiräγ	t͡ʃ i r ɛ ɣ	
1540	H	depot: tárház	tār	tār	t aː r	
1541	EAH	depot: tárház	tavar	tavar	t a v a r	
1542	WOT	depot: tárház	tavar	tavar	t a v a r	
70	H	ditch, canal	ārok	ārok	aː r o k	
71	EAH	ditch, canal	āruk	āruk	aː r u k	
72	WOT	ditch, canal	aruk	aruk	a r u k	
822	H	do-less, do-little	kåytār	kåytār	k ɒ j t aː r	
823	WOT	do-less, do-little	kaytar	kaytar	k a j t a r	
1333	H	dogwood (tree), cornel, Cornus	šom	šom	ʃ o m	
1334	OH	dogwood (tree), cornel, Cornus	šum	šum	ʃ u m	
1335	EAH	dogwood (tree), cornel, Cornus	čum	čum	t͡ʃ u m	
1336	WOT	dogwood (tree), cornel, Cornus	čum	čum	t͡ʃ u m	
1337	H	dogwood (tree), cornel, Cornus	šomlʹō	šomlʹō	ʃ o m ʎ oː	
1338	OH	dogwood (tree), cornel, Cornus	šomlyō	šomlyō	ʃ o m j oː	
1339	EAH	dogwood (tree), cornel, Cornus	šumluγ	šumluγ	ʃ u m l u ɣ	
1340	WOT	dogwood (tree), cornel, Cornus	čumluγ	čumluγ	t͡ʃ u m l u ɣ	
1283	H	draff, lees, dregs of wine	šeprȫ	šeprȫ	ʃ ɛ p r øː	
1284	OH	draff, lees, dregs of wine	čeprȫ	čeprȫ	t͡ʃ ɛ p r øː	
1285	EAH	draff, lees, dregs of wine	čöpreγ	čöpreγ	t͡ʃ ø p r ɛ ɣ	
1286	WOT	draff, lees, dregs of wine	čöpräγ	čöpräγ	t͡ʃ ø p r ɛ ɣ	
1287	H	draff, lees, dregs of wine	šeprȫ	šeprȫ	ʃ ɛ p r øː	
1288	OH	draff, lees, dregs of wine	čeprȫ	čeprȫ	t͡ʃ ɛ p r øː	
1289	EAH	draff, lees, dregs of wine	čöpreγ	čöpreγ	t͡ʃ ø p r ɛ ɣ	
1290	WOT	draff, lees, dregs of wine	čöprök	čöprök	t͡ʃ ø p r ø k	
621	H	drag-net, a kind of fishing net	dʹålom	dʹålom	ɟ ɒ l o m	
622	EAH	drag-net, a kind of fishing net	ǰalum	ǰalum	d͡ʒ a l u m	
623	WOT	drag-net, a kind of fishing net	ǰalïm	ǰalïm	d͡ʒ a l ɯ m	
1257	H	dragon	šārkāń	šārkāń	ʃ aː r k aː ɲ	
1258	EAH	dragon	šārkān	šārkān	ʃ aː r k aː n	
1259	WOT	dragon	šarakan	šarakan	ʃ a r a k a n	
1011	H	dry stalk of weed	kōrō	kōrō	k oː r oː	
1012	OH	dry stalk of weed	korou̯	korou̯	k o r o w	
1013	EAH	dry stalk of weed	kuroγ	kuroγ	k u r o ɣ	
1014	WOT	dry stalk of weed	kowrog	kowrog	k o w r o ɡ	
1118	H	dry summer fog, rainbow	mōnār köd	mōnārköd	m oː n aː r k ø d	
1119	OH	dry summer fog, rainbow	mōnār	mōnār	m oː n aː r	
1120	EAH	dry summer fog, rainbow	munar	munar	m u n a r	
1121	WOT	dry summer fog, rainbow	munar	munar	m u n a r	
1206	H	eternal	örök	örök	ø r ø k	
1207	EAH	eternal	ürük	ürük	y r y k	
1208	WOT	eternal	ürük	ürük	y r y k	
1308	H	even, flat, open (water)	šīk	šīk	ʃ iː k	
1309	EAH	even, flat, open (water)	šik	šik	ʃ i k	
1310	WOT	even, flat, open (water)	šïk	šïk	ʃ ɯ k	
483	H	excellent; worthless	dåkši	dåkši	d ɒ k ʃ i	
484	EAH	excellent; worthless	ǰakši	ǰakši	d͡ʒ a k ʃ i	
485	WOT	excellent; worthless	ǰakšï	ǰakšï	d͡ʒ a k ʃ ɯ	
1323	H	falcon	šōlʹom	šōlʹom	ʃ oː ʎ o m	
1324	OH	falcon	šolʹom	šolʹom	ʃ o ʎ o m	
1325	LAH	falcon	čawlim	čawlim	t͡ʃ a w l i m	
1326	EAH	falcon	čavli	čavli	t͡ʃ a v l i	
1327	WOT	falcon	čavlï	čavlï	t͡ʃ a v l ɯ	
1328	H	falcon	šōlʹom	šōlʹom	ʃ oː ʎ o m	
1329	OH	falcon	šolʹom	šolʹom	ʃ o ʎ o m	
1330	LAH	falcon	čawlim	čawlim	t͡ʃ a w l i m	
1331	EAH	falcon	čavli	čavli	t͡ʃ a v l i	
1332	WOT	falcon	čavlïm	čavlïm	t͡ʃ a v l ɯ m	
20	H	false, imitation	āl	āl	aː l	
21	EAH	false, imitation	āl	āl	aː l	
22	WOT	false, imitation	al	al	a l	
308	H	farewell, indulgence, dedication festival, annual parish-feast	būčū	būčū	b uː t͡ʃ uː	
309	OH	farewell, indulgence, dedication festival, annual parish-feast	bulčū	bulčū	b u l t͡ʃ uː	
310	LAH	farewell, indulgence, dedication festival, annual parish-feast	bulčū	bulčū	b u l t͡ʃ uː	
311	EAH	farewell, indulgence, dedication festival, annual parish-feast	bulčuγ	bulčuγ	b u l t͡ʃ u ɣ	
312	WOT	farewell, indulgence, dedication festival, annual parish-feast	bolčuγ	bolčuγ	b o l t͡ʃ u ɣ	
285	H	fast(ing)	böyt	böyt	b ø j t	
286	OH	fast(ing)	büχt	büχt	b y χ t	
287	EAH	fast(ing)	büγte	büγte	b y ɣ t ɛ	
288	WOT	fast(ing)	büγtä	büγtä	b y ɣ t ɛ	
1274	H	fast, quick	šebeš	šebeš	ʃ ɛ b ɛ ʃ	
1275	EAH	fast, quick	šeb	šeb	ʃ ɛ b	
1276	WOT	fast, quick	šip	šip	ʃ i p	
458	H	feast, christening feast (at baptism)	čök	čök	t͡ʃ ø k	
459	EAH	feast, christening feast (at baptism)	čük	čük	t͡ʃ y k	
460	WOT	feast, christening feast (at baptism)	čök	čök	t͡ʃ ø k	
1730	H	feast, ünnepnap	ünnep	ünnep	y n n ɛ p	
1731	OH	feast, ünnepnap	üdnep	üdnep	y d n ɛ p	
1732	LAH	feast, ünnepnap	idnep	idnep	i d n ɛ p	
1733	EAH	feast, ünnepnap	idnap	idnap	i d n a p	
1734	WOT	feast, ünnepnap	edü	edü	ɛ d y	
959	H	felt	kīyc	kīyc	k iː j t͡s	
960	OH	felt	kīyc	kīyc	k iː j t͡s	
961	LAH	felt	kiyic	kiyic	k i j i t͡s	
962	EAH	felt	kiyiz	kiyiz	k i j i z	
963	WOT	felt	kiyiz	kiyiz	k i j i z	
469	H	field-guard; herald; Turkish envoy	čȫs	čȫs	t͡ʃ øː s	
470	EAH	field-guard; herald; Turkish envoy	čäüš	čäüš	t͡ʃ ɛ y ʃ	
471	WOT	field-guard; herald; Turkish envoy	čäwiš	čäwiš	t͡ʃ ɛ w i ʃ	
403	H	fighting, troop, army group, battle, quarrel, hubbub, flock	čåtå	čåtå	t͡ʃ ɒ t ɒ	
404	EAH	fighting, troop, army group, battle, quarrel, hubbub, flock	čata	čata	t͡ʃ a t a	
405	WOT	fighting, troop, army group, battle, quarrel, hubbub, flock	čata	čata	t͡ʃ a t a	
406	H	fighting, troop, army group, battle, quarrel, hubbub, flock	čåtå	čåtå	t͡ʃ ɒ t ɒ	
407	EAH	fighting, troop, army group, battle, quarrel, hubbub, flock	čata	čata	t͡ʃ a t a	
408	WOT	fighting, troop, army group, battle, quarrel, hubbub, flock	čatï	čatï	t͡ʃ a t ɯ	
1775	H	fishweir	veyse	veyse	v ɛ j s ɛ	
1776	EAH	fishweir	veyseγ	veyseγ	v ɛ j s ɛ ɣ	
1777	WOT	fishweir	väyśäγ	väyśäγ	v ɛ j s ɛ ɣ	
1236	H	flood, deluge, stream	özön	özön	ø z ø n	
1237	EAH	flood, deluge, stream	üzen	üzen	y z ɛ n	
1238	WOT	flood, deluge, stream	özän	özän	ø z ɛ n	
1266	H	footwear, sandals	šåru	šåru	ʃ ɒ r u	
1267	OH	footwear, sandals	šarū	šarū	ʃ a r uː	
1268	EAH	footwear, sandals	čaruγ	čaruγ	t͡ʃ a r u ɣ	
1269	WOT	footwear, sandals	čaruγ	čaruγ	t͡ʃ a r u ɣ	
1440	H	freckle, sun spot, stain	seplȫ	seplȫ	s ɛ p l øː	
1441	EAH	freckle, sun spot, stain	sepleγ	sepleγ	s ɛ p l ɛ ɣ	
1442	WOT	freckle, sun spot, stain	säpliγ	säpliγ	s ɛ p l i ɣ	
1025	H	frock, sheepskin waistcoat	ködmön	ködmön	k ø d m ø n	
1026	EAH	frock, sheepskin waistcoat	kedmen	kedmen	k ɛ d m ɛ n	
1027	WOT	frock, sheepskin waistcoat	kädmän	kädmän	k ɛ d m ɛ n	
1028	H	frock, sheepskin waistcoat	ködmen	ködmen	k ø d m ɛ n	
1029	EAH	frock, sheepskin waistcoat	kedmen	kedmen	k ɛ d m ɛ n	
1030	WOT	frock, sheepskin waistcoat	kädmän	kädmän	k ɛ d m ɛ n	
119	H	frog	bēkå	bēkå	b eː k ɒ	
120	EAH	frog	baka	baka	b a k a	
121	WOT	frog	baka	baka	b a k a	
740	H	fruit	dʹümölč	dʹümölč	ɟ y m ø l t͡ʃ	
741	OH	fruit	dʹömölč	dʹömölč	ɟ ø m ø l t͡ʃ	
742	LAH	fruit	dʹemilč	dʹemilč	ɟ ɛ m i l t͡ʃ	
743	EAH	fruit	ǰemilč	ǰemilč	d͡ʒ ɛ m i l t͡ʃ	
744	WOT	fruit	ǰemilč	ǰemilč	d͡ʒ ɛ m i l t͡ʃ	
1446	H	fumes, vapour, spirits, alcohol, humours	ses	ses	s ɛ s	
1447	EAH	fumes, vapour, spirits, alcohol, humours	sis	sis	s i s	
1448	WOT	fumes, vapour, spirits, alcohol, humours	sis	sis	s i s	
1502	H	furrier	sǖč	sǖč	s yː t͡ʃ	
1503	OH	furrier	seü̯či	seü̯či	s ɛ ɥ t͡ʃ i	
1504	LAH	furrier	siwči	siwči	s i w t͡ʃ i	
1505	EAH	furrier	śiγči	śiγči	s i ɣ t͡ʃ i	
1506	WOT	furrier	čiγči	čiγči	t͡ʃ i ɣ t͡ʃ i	
1789	H	gable, frontispiece	vērtelek	vērtelek	v eː r t ɛ l ɛ k	
1790	EAH	gable, frontispiece	vertelük	vertelük	v ɛ r t ɛ l y k	
1791	WOT	gable, frontispiece	vertülük	vertülük	v ɛ r t y l y k	
934	H	garden, place for animals	kert	kert	k ɛ r t	
935	EAH	garden, place for animals	kerte	kerte	k ɛ r t ɛ	
936	WOT	garden, place for animals	kärtä	kärtä	k ɛ r t ɛ	
864	H	gate	kåpu	kåpu	k ɒ p u	
865	OH	gate	kapū	kapū	k a p uː	
866	EAH	gate	kapuγ	kapuγ	k a p u ɣ	
867	WOT	gate	kapuγ	kapuγ	k a p u ɣ	
79	H	gauntry, gantry (for supporting barrels)	āsok	āsok	aː s o k	
80	OH	gauntry, gantry (for supporting barrels)	ask	ask	a s k	
81	EAH	gauntry, gantry (for supporting barrels)	aski	aski	a s k i	
82	WOT	gauntry, gantry (for supporting barrels)	askï	askï	a s k ɯ	
1722	H	gentleman, lord, sir, high dignity, Lord (also of a king or of God)	ūr	ūr	uː r	
1723	EAH	gentleman, lord, sir, high dignity, Lord (also of a king or of God)	uri	uri	u r i	
1724	WOT	gentleman, lord, sir, high dignity, Lord (also of a king or of God)	urï	urï	u r ɯ	
612	H	gleaner mouse, Mus spicilegus	güzü	güzü	ɡ y z y	
613	OH	gleaner mouse, Mus spicilegus	güzǖ	güzǖ	ɡ y z yː	
614	LAH	gleaner mouse, Mus spicilegus	küzeγü	küzeγü	k y z ɛ ɣ y	
615	EAH	gleaner mouse, Mus spicilegus	küseγü	küseγü	k y s ɛ ɣ y	
616	WOT	gleaner mouse, Mus spicilegus	küsäγü	küsäγü	k y s ɛ ɣ y	
999	H	gloomy, grave, morose, sombre, dull-coloured; not properly castrated	komor	komor	k o m o r	
1000	EAH	gloomy, grave, morose, sombre, dull-coloured; not properly castrated	komur	komur	k o m u r	
1001	WOT	gloomy, grave, morose, sombre, dull-coloured; not properly castrated	komur	komur	k o m u r	
904	H	goat, Capra hircus	kečke	kečke	k ɛ t͡ʃ k ɛ	
905	EAH	goat, Capra hircus	kečeke	kečeke	k ɛ t͡ʃ ɛ k ɛ	
906	WOT	goat, Capra hircus	käčäkä	käčäkä	k ɛ t͡ʃ ɛ k ɛ	
974	H	gourd, calabash, Lagenaria vulgaris; head, billy-cock-hat	kobåk	kobåk	k o b ɒ k	
975	EAH	gourd, calabash, Lagenaria vulgaris; head, billy-cock-hat	kåbåk	kåbåk	k ɒ b ɒ k	
976	WOT	gourd, calabash, Lagenaria vulgaris; head, billy-cock-hat	kabak	kabak	k a b a k	
95	H	governor of Croatia, governor of the southern marches	bān	bān	b aː n	
96	WOT	governor of Croatia, governor of the southern marches	bayan	bayan	b a j a n	
143	H	grain or small globule of preciousmetal	bertǖ	bertǖ	b ɛ r t yː	
144	OH	grain or small globule of preciousmetal	börtǖ	börtǖ	b ø r t yː	
145	LAH	grain or small globule of preciousmetal	börteü̯	börteü̯	b ø r t ɛ ɥ	
146	EAH	grain or small globule of preciousmetal	bürtiγ	bürtiγ	b y r t i ɣ	
147	WOT	grain or small globule of preciousmetal	bürtiγ	bürtiγ	b y r t i ɣ	
1482	H	grape, wine grape, Vitis vinifer	sȫlȫ	sȫlȫ	s øː l øː	
1483	OH	grape, wine grape, Vitis vinifer	selleγ	selleγ	s ɛ l l ɛ ɣ	
1484	EAH	grape, wine grape, Vitis vinifer	śeleγ	śeleγ	s ɛ l ɛ ɣ	
1485	WOT	grape, wine grape, Vitis vinifer	če leγ	čeleγ	t͡ʃ ɛ l ɛ ɣ	
1486	H	grape, wine grape, Vitis vinifer	sȫlȫ	sȫlȫ	s øː l øː	
1487	OH	grape, wine grape, Vitis vinifer	seleγ	seleγ	s ɛ l ɛ ɣ	
1488	EAH	grape, wine grape, Vitis vinifer	śeleγ	śeleγ	s ɛ l ɛ ɣ	
1489	WOT	grape, wine grape, Vitis vinifer	čeleγ	čeleγ	t͡ʃ ɛ l ɛ ɣ	
1490	H	grape, wine grape, Vitis vinifer	söllȫ	söllȫ	s ø l l øː	
1491	OH	grape, wine grape, Vitis vinifer	selleγ	selleγ	s ɛ l l ɛ ɣ	
1492	EAH	grape, wine grape, Vitis vinifer	śeleγ	śeleγ	s ɛ l ɛ ɣ	
1493	WOT	grape, wine grape, Vitis vinifer	čeleγ	čeleγ	t͡ʃ ɛ l ɛ ɣ	
1494	H	grape, wine grape, Vitis vinifer	söllȫ	söllȫ	s ø l l øː	
1495	OH	grape, wine grape, Vitis vinifer	seleγ	seleγ	s ɛ l ɛ ɣ	
1496	EAH	grape, wine grape, Vitis vinifer	śeleγ	śeleγ	s ɛ l ɛ ɣ	
1497	WOT	grape, wine grape, Vitis vinifer	čeleγ	čeleγ	t͡ʃ ɛ l ɛ ɣ	
1473	H	grasshopper	söčke	söčke	s ø t͡ʃ k ɛ	
1474	OH	grasshopper	sökče	sökče	s ø k t͡ʃ ɛ	
1475	LAH	grasshopper	sökśȫ	sökśȫ	s ø k s øː	
1476	EAH	grasshopper	sek	sek	s ɛ k	
1477	WOT	grasshopper	sek	sek	s ɛ k	
489	H	grist, groats, soft hail	dårå	dårå	d ɒ r ɒ	
490	EAH	grist, groats, soft hail	dara	dara	d a r a	
491	WOT	grist, groats, soft hail	tarï	tarï	t a r ɯ	
492	H	grist, groats, soft hail	dårå	dårå	d ɒ r ɒ	
493	EAH	grist, groats, soft hail	dara	dara	d a r a	
494	WOT	grist, groats, soft hail	darï	darï	d a r ɯ	
1402	H	grocer, grand handler	såtōč	såtōč	s ɒ t oː t͡ʃ	
1403	OH	grocer, grand handler	satōč	satōč	s a t oː t͡ʃ	
1404	LAH	grocer, grand handler	satiwči	satiwči	s a t i w t͡ʃ i	
1405	EAH	grocer, grand handler	satiγči	satiγči	s a t i ɣ t͡ʃ i	
1406	WOT	grocer, grand handler	satïγčï	satïγčï	s a t ɯ ɣ t͡ʃ ɯ	
1740	H	ground squirrel, Citellus citellus	irge	irge	i r ɡ ɛ	
1741	EAH	ground squirrel, Citellus citellus	ürge	ürge	y r ɡ ɛ	
1742	WOT	ground squirrel, Citellus citellus	örgä	örgä	ø r ɡ ɛ	
1743	H	ground squirrel, Citellus citellus	ürge	ürge	y r ɡ ɛ	
1744	EAH	ground squirrel, Citellus citellus	ürge	ürge	y r ɡ ɛ	
1745	WOT	ground squirrel, Citellus citellus	örgä	örgä	ø r ɡ ɛ	
1784	H	guest	vendēg	vendēg	v ɛ n d eː ɡ	
1785	EAH	guest	vendeg	vendeg	v ɛ n d ɛ ɡ	
1786	WOT	guest	vändäg	vändäg	v ɛ n d ɛ ɡ	
826	H	guide, pilot; conductor, ticket inspector	kålåuz	kålåuz	k ɒ l ɒ u z	
827	EAH	guide, pilot; conductor, ticket inspector	kalauz	kalauz	k a l a u z	
828	WOT	guide, pilot; conductor, ticket inspector	kolavuz	kolavuz	k o l a v u z	
829	H	guide, pilot; conductor, ticket inspector	kålōz	kålōz	k ɒ l oː z	
830	EAH	guide, pilot; conductor, ticket inspector	kalauz	kalauz	k a l a u z	
831	WOT	guide, pilot; conductor, ticket inspector	kolavuz	kolavuz	k o l a v u z	
100	H	hairy, bushy (of dogs); a big hairy dog (as noun)	bårāg	bårāg	b ɒ r aː ɡ	
101	EAH	hairy, bushy (of dogs); a big hairy dog (as noun)	barag	barag	b a r a ɡ	
102	WOT	hairy, bushy (of dogs); a big hairy dog (as noun)	barag	barag	b a r a ɡ	
1594	H	hall, chamber, great room	terem	terem	t ɛ r ɛ m	
1595	EAH	hall, chamber, great room	terem	terem	t ɛ r ɛ m	
1596	WOT	hall, chamber, great room	terem	terem	t ɛ r ɛ m	
89	H	hatchet, axe	båltå	båltå	b ɒ l t ɒ	
90	EAH	hatchet, axe	balta	balta	b a l t a	
91	WOT	hatchet, axe	balta	balta	b a l t a	
766	H	hawk	heryō	heryō	h ɛ r j oː	
767	EAH	hawk	xirγuy	xirγuy	k s i r ɣ u j	
768	WOT	hawk	χїrγuy	χїrγuy	χ ɯ r ɣ u j	
1189	H	hawk, buzzard, Buteo buteo	ölʹv	ölʹv	ø ʎ v	
1190	OH	hawk, buzzard, Buteo buteo	ölʹü	ölʹü	ø ʎ y	
1191	EAH	hawk, buzzard, Buteo buteo	eliγ	eliγ	ɛ l i ɣ	
1192	WOT	hawk, buzzard, Buteo buteo	eliγ	eliγ	ɛ l i ɣ	
745	H	hawthorn, a plant similar to the whitethorn, or elder	dʹümölčēń	dʹümölčēń	ɟ y m ø l t͡ʃ eː ɲ	
746	OH	hawthorn, a plant similar to the whitethorn, or elder	dʹemilčen	dʹemilčen	ɟ ɛ m i l t͡ʃ ɛ n	
747	EAH	hawthorn, a plant similar to the whitethorn, or elder	ǰemilčen	ǰemilčen	d͡ʒ ɛ m i l t͡ʃ ɛ n	
748	WOT	hawthorn, a plant similar to the whitethorn, or elder	ǰemilčen	ǰemilčen	d͡ʒ ɛ m i l t͡ʃ ɛ n	
1735	H	heifer, roe doe	ünȫ	ünȫ	y n øː	
1736	OH	heifer, roe doe	inȫ	inȫ	i n øː	
1737	LAH	heifer, roe doe	ineü	ineü	i n ɛ y	
1738	EAH	heifer, roe doe	ineγ	ineγ	i n ɛ ɣ	
1739	WOT	heifer, roe doe	inäγ	inäγ	i n ɛ ɣ	
1600	H	hemp breaker, swingle, scutch	tilō	tilō	t i l oː	
1601	OH	hemp breaker, swingle, scutch	talō	talō	t a l oː	
1602	EAH	hemp breaker, swingle, scutch	talkiγ	talkiγ	t a l k i ɣ	
1603	WOT	hemp breaker, swingle, scutch	talkïγ	talkïγ	t a l k ɯ ɣ	
914	H	hemp, Cannabis	kender	kender	k ɛ n d ɛ r	
915	EAH	hemp, Cannabis	kendir	kendir	k ɛ n d i r	
916	WOT	hemp, Cannabis	kändir	kändir	k ɛ n d i r	
1714	H	hen	tʹūk	tʹūk	c uː k	
1715	OH	hen	tiuk	tiuk	t i u k	
1716	LAH	hen	tiwuk	tiwuk	t i w u k	
1717	EAH	hen	tiγuk	tiγuk	t i ɣ u k	
1718	WOT	hen	tiγuk	tiγuk	t i ɣ u k	
122	H	hobble, shackle, leg-iron	bēkō	bēkō	b eː k oː	
123	EAH	hobble, shackle, leg-iron	bikaγu	bikaγu	b i k a ɣ u	
124	WOT	hobble, shackle, leg-iron	bïkaγu	bïkaγu	b ɯ k a ɣ u	
125	H	hobble, shackle, leg-iron	bēklʹō	bēklʹō	b eː k ʎ oː	
126	EAH	hobble, shackle, leg-iron	bikaγu	bikaγu	b i k a ɣ u	
127	WOT	hobble, shackle, leg-iron	bïkaγu	bïkaγu	b ɯ k a ɣ u	
989	H	hops, Humulus lupulus	komlō	komlō	k o m l oː	
990	OH	hops, Humulus lupulus	kumlau̯	kumlau̯	k u m l a w	
991	EAH	hops, Humulus lupulus	kumlaγ	kumlaγ	k u m l a ɣ	
992	WOT	hops, Humulus lupulus	kumlaγ	kumlaγ	k u m l a ɣ	
683	H	hornbeam, Carpinus betulus	dʹertʹān	dʹertʹān	ɟ ɛ r c aː n	
684	OH	hornbeam, Carpinus betulus	ǰartān	ǰartān	d͡ʒ a r t aː n	
685	EAH	hornbeam, Carpinus betulus	ǰartaγan	ǰartaγan	d͡ʒ a r t a ɣ a n	
686	WOT	hornbeam, Carpinus betulus	ǰartaγan	ǰartaγan	d͡ʒ a r t a ɣ a n	
280	H	horsefly, gadfly	bögölʹ	bögölʹ	b ø ɡ ø ʎ	
281	OH	horsefly, gadfly	bögölʹ	bögölʹ	b ø ɡ ø ʎ	
282	LAH	horsefly, gadfly	bögölʹök	bögölʹök	b ø ɡ ø ʎ ø k	
283	EAH	horsefly, gadfly	bögölök	bögölök	b ø ɡ ø l ø k	
284	WOT	horsefly, gadfly	bögöläk	bögöläk	b ø ɡ ø l ɛ k	
1627	H	horseradish, Armoracia rusticana	tormå	tormå	t o r m ɒ	
